,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19880,3200,6801,0.471,309,926,0.334,2891,5875,0.492,1486,1981,0.75,970,2391,3361,1691,771,441,1145,1705,8195
1,Team/G,,242.4,39.0,82.9,0.471,3.8,11.3,0.334,35.3,71.6,0.492,18.1,24.2,0.75,11.8,29.2,41.0,20.6,9.4,5.4,14.0,20.8,99.9
2,Lg Rank,,6,3,8,6.0,30,30,27.0,1,1,15.0,17,15,23.0,6,24,16,21,1,7,12,17,12
3,Year/Year,,-0.1%,-0.7%,-1.1%,0.002,-10.2%,-9.2%,-0.004,0.4%,0.3%,0.0,-7.9%,-10.0%,0.017,-9.3%,-4.2%,-5.7%,9.6%,19.5%,10.5%,-8.3%,3.0%,-2.5%
4,Opponent,82.0,19880,2967,6489,0.457,587,1592,0.369,2380,4897,0.486,1482,1948,0.761,905,2387,3292,1724,613,505,1367,1754,8003
5,Opponent/G,,242.4,36.2,79.1,0.457,7.2,19.4,0.369,29.0,59.7,0.486,18.1,23.8,0.761,11.0,29.1,40.1,21.0,7.5,6.2,16.7,21.4,97.6
6,Lg Rank,,6,9,7,14.0,27,23,24.0,9,5,13.0,12,12,11.0,18,4,8,14,20,30,1,8,13
7,Year/Year,,-0.1%,-9.5%,-5.3%,-0.021,2.6%,-1.6%,0.015,-12.0%,-6.4%,-0.031,5.7%,4.8%,0.006,-0.2%,1.6%,1.1%,-8.1%,-3.5%,0.8%,17.3%,-4.7%,-6.2%
