Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2015-16,23.0,TOR,NBA,PG,27.0,229.0,17.8,0.54,0.163,0.438,4.1,14.3,9.3,22.5,1.8,1.1,14.4,22.1,0.3,0.2,0.6,0.124,1.1,-0.3,0.9,0.2
2016-17,24.0,TOR,NBA,PG,27.0,446.0,15.0,0.535,0.259,0.474,4.1,8.1,6.1,18.2,3.1,2.1,15.1,16.6,0.5,0.6,1.1,0.117,-0.1,2.1,2.0,0.5
2017-18,25.0,TOR,NBA,PG,69.0,1433.0,16.5,0.574,0.354,0.271,3.6,11.7,7.7,19.6,2.5,1.8,13.9,17.2,2.5,2.1,4.5,0.152,1.4,1.8,3.3,1.9
2018-19,26.0,TOT,NBA,PG,75.0,1699.0,15.5,0.523,0.301,0.269,4.4,12.8,8.6,21.6,2.5,1.6,11.0,18.1,1.9,2.4,4.3,0.121,0.1,1.4,1.5,1.5
2018-19,26.0,TOR,NBA,PG,49.0,897.0,14.5,0.527,0.307,0.208,4.8,10.1,7.5,16.8,2.5,1.4,10.4,17.1,1.0,1.3,2.3,0.123,0.1,1.6,1.7,0.8
2018-19,26.0,MEM,NBA,PG,26.0,802.0,16.6,0.519,0.294,0.336,4.0,15.9,9.9,26.9,2.6,1.8,11.6,19.2,0.9,1.1,2.0,0.119,0.0,1.2,1.2,0.6
2019-20,27.0,DAL,NBA,PG,73.0,1570.0,15.4,0.554,0.309,0.243,4.7,13.8,9.4,21.0,2.6,1.2,13.8,14.4,2.6,1.8,4.4,0.134,0.0,1.8,1.9,1.5
2020-21,28.0,TOT,NBA,"PG,SG",63.0,1748.0,16.3,0.562,0.332,0.243,4.1,13.1,8.6,23.0,2.8,1.5,12.6,16.3,2.5,1.8,4.3,0.117,0.7,1.3,2.0,1.7
2020-21,28.0,DET,NBA,SG,36.0,1052.0,16.5,0.562,0.304,0.307,3.9,13.6,8.7,25.7,2.7,1.6,12.6,15.8,1.7,1.3,2.9,0.134,1.1,1.8,2.8,1.3
2020-21,28.0,SAC,NBA,PG,27.0,696.0,15.9,0.563,0.369,0.16,4.4,12.5,8.4,18.9,3.0,1.3,12.7,17.1,0.8,0.5,1.3,0.092,0.2,0.6,0.8,0.5
2021-22,29.0,ATL,NBA,SG,10.0,110.0,12.9,0.421,0.36,0.32,8.6,14.9,11.7,23.7,2.2,0.0,17.4,13.5,0.1,0.0,0.1,0.054,-1.0,0.5,-0.5,0.0
Career,,,NBA,,344.0,7235.0,15.9,0.549,0.314,0.276,4.3,12.7,8.5,21.3,2.6,1.5,13.0,16.6,10.4,8.9,19.3,0.128,0.5,1.5,2.0,7.3
,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,TOR,NBA,,172.0,3005.0,15.8,0.551,0.311,0.291,4.1,10.9,7.5,18.8,2.5,1.7,13.1,17.4,4.4,4.1,8.5,0.136,0.8,1.6,2.4,3.4
1 season,,DAL,NBA,,73.0,1570.0,15.4,0.554,0.309,0.243,4.7,13.8,9.4,21.0,2.6,1.2,13.8,14.4,2.6,1.8,4.4,0.134,0.0,1.8,1.9,1.5
1 season,,DET,NBA,,36.0,1052.0,16.5,0.562,0.304,0.307,3.9,13.6,8.7,25.7,2.7,1.6,12.6,15.8,1.7,1.3,2.9,0.134,1.1,1.8,2.8,1.3
1 season,,SAC,NBA,,27.0,696.0,15.9,0.563,0.369,0.16,4.4,12.5,8.4,18.9,3.0,1.3,12.7,17.1,0.8,0.5,1.3,0.092,0.2,0.6,0.8,0.5
1 season,,MEM,NBA,,26.0,802.0,16.6,0.519,0.294,0.336,4.0,15.9,9.9,26.9,2.6,1.8,11.6,19.2,0.9,1.1,2.0,0.119,0.0,1.2,1.2,0.6
1 season,,ATL,NBA,,10.0,110.0,12.9,0.421,0.36,0.32,8.6,14.9,11.7,23.7,2.2,0.0,17.4,13.5,0.1,0.0,0.1,0.054,-1.0,0.5,-0.5,0.0
