,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,2017-18,23.0,NYK,NBA,SG,44.0,474.0,11.6,0.532,0.422,0.143,2.1,17.5,9.8,9.5,1.3,0.4,9.0,17.3,0.3,0.3,0.6,0.06,-1.6,-0.6,-2.3,0.0
1,2018-19,24.0,NYK,NBA,SG,73.0,2004.0,10.8,0.526,0.49,0.14,1.7,12.2,6.8,10.4,1.4,0.4,8.7,17.3,0.7,0.9,1.5,0.037,-1.7,-0.9,-2.6,-0.3
2,2019-20,25.0,NYK,NBA,SG,48.0,836.0,10.9,0.527,0.562,0.114,1.2,10.6,5.8,10.0,1.3,0.5,6.5,16.5,0.6,0.4,0.9,0.053,-0.9,-0.5,-1.5,0.1
3,2020-21,26.0,CLE,NBA,SG,46.0,907.0,8.1,0.499,0.543,0.123,0.6,11.1,5.7,15.1,0.9,0.4,12.0,16.9,-0.4,0.3,0.0,-0.002,-3.3,-1.6,-4.8,-0.6
4,Career,,,NBA,,211.0,4221.0,10.3,0.521,0.508,0.132,1.4,12.3,6.7,11.2,1.3,0.4,9.0,17.1,1.1,1.9,3.0,0.034,-1.9,-0.9,-2.8,-0.9
5,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3 seasons,,NYK,NBA,,165.0,3314.0,10.9,0.527,0.499,0.134,1.7,12.6,7.0,10.2,1.4,0.4,8.2,17.1,1.5,1.5,3.1,0.044,-1.5,-0.7,-2.2,-0.2
7,1 season,,CLE,NBA,,46.0,907.0,8.1,0.499,0.543,0.123,0.6,11.1,5.7,15.1,0.9,0.4,12.0,16.9,-0.4,0.3,0.0,-0.002,-3.3,-1.6,-4.8,-0.6
