,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19955,3500,7241,0.483,837,2312,0.362,2663,4929,0.54,1324,1716,0.772,712,2924,3636,2195,657,485,1223,1570,9161
1,Team/G,,243.4,42.7,88.3,0.483,10.2,28.2,0.362,32.5,60.1,0.54,16.1,20.9,0.772,8.7,35.7,44.3,26.8,8.0,5.9,14.9,19.1,111.7
2,Lg Rank,,1,2,3,2.0,18,18,13.0,2,6,4.0,19,17,15.0,26,3,10,3,8,3,22,8,3
3,Year/Year,,0.3%,9.0%,1.6%,0.033,9.0%,5.3%,0.012,9.0%,-0.1%,0.045,-3.2%,-6.0%,0.022,1.3%,1.6%,1.5%,17.4%,3.0%,7.1%,16.0%,5.4%,7.1%
4,Opponent,82.0,19955,3423,7539,0.454,891,2509,0.355,2532,5030,0.503,1317,1679,0.784,887,2843,3730,1947,670,344,1186,1669,9054
5,Opponent/G,,243.4,41.7,91.9,0.454,10.9,30.6,0.355,30.9,61.3,0.503,16.1,20.5,0.784,10.8,34.7,45.5,23.7,8.2,4.2,14.5,20.4,110.4
6,Lg Rank,,1,28,30,9.0,20,25,8.0,28,29,10.0,12,9,28.0,29,23,25,20,22,4,11,13,29
7,Year/Year,,0.3%,4.2%,3.3%,0.004,3.2%,2.6%,0.002,4.5%,3.6%,0.004,1.9%,-1.1%,0.022,1.7%,-8.0%,-5.9%,1.4%,11.1%,-1.1%,3.7%,5.6%,3.7%
