,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,2012-13,21.0,TOR,NBA,SG,73.0,1239.0,10.4,0.491,0.429,0.092,3.3,10.6,6.9,7.2,1.8,0.9,9.2,19.6,0.0,0.8,0.9,0.034,-1.7,-0.7,-2.5,-0.1
1,2013-14,22.0,TOR,NBA,SG,81.0,2159.0,12.0,0.553,0.543,0.13,2.3,11.3,6.8,6.1,1.5,1.0,10.0,18.6,2.0,2.2,4.2,0.094,0.0,-0.2,-0.2,1.0
2,2014-15,23.0,TOR,NBA,SF,82.0,2092.0,11.2,0.519,0.518,0.074,1.8,10.7,6.2,6.5,1.3,1.0,8.1,18.3,1.3,1.0,2.4,0.054,-0.1,-1.3,-1.4,0.3
3,2015-16,24.0,TOR,NBA,SF,73.0,1747.0,12.9,0.551,0.542,0.099,1.4,10.6,6.1,5.3,1.6,1.2,6.6,18.2,2.1,1.6,3.6,0.1,0.6,-0.3,0.3,1.0
4,2016-17,25.0,TOT,NBA,SF,78.0,1955.0,13.4,0.55,0.524,0.103,1.0,10.8,5.9,7.1,2.2,1.4,8.0,19.3,1.5,2.0,3.5,0.086,-0.3,0.1,-0.2,0.9
5,2016-17,25.0,TOR,NBA,SF,54.0,1207.0,14.9,0.558,0.534,0.104,1.3,11.6,6.5,5.9,2.2,1.4,6.2,19.8,1.6,1.3,2.9,0.116,1.1,0.2,1.2,1.0
6,2016-17,25.0,ORL,NBA,SF,24.0,748.0,11.1,0.536,0.506,0.101,0.6,9.6,5.0,9.0,2.3,1.4,11.2,18.5,0.0,0.6,0.6,0.037,-2.5,0.0,-2.5,-0.1
7,2017-18,26.0,ORL,NBA,SG,24.0,600.0,9.9,0.505,0.487,0.188,1.8,11.6,6.7,9.3,2.2,1.5,12.3,17.3,-0.2,0.5,0.3,0.025,-2.8,0.1,-2.7,-0.1
8,2018-19,27.0,ORL,NBA,SG,81.0,2150.0,15.4,0.561,0.551,0.14,1.3,12.8,7.0,9.9,1.6,1.1,7.6,23.9,1.7,2.6,4.3,0.095,1.1,-0.3,0.8,1.5
9,2019-20,28.0,ORL,NBA,SG,69.0,1889.0,14.0,0.548,0.596,0.217,0.7,12.3,6.3,6.8,2.0,1.1,7.0,22.8,1.1,2.0,3.0,0.077,-0.1,-0.3,-0.4,0.8
10,2020-21,29.0,ORL,NBA,SG,46.0,1347.0,13.2,0.53,0.429,0.224,1.1,11.4,6.1,13.2,1.7,1.4,9.9,24.1,-0.1,1.0,0.9,0.03,-1.3,-1.1,-2.4,-0.1
11,2021-22,30.0,ORL,NBA,SG,4.0,104.0,11.5,0.581,0.556,0.389,1.1,3.8,2.6,10.1,0.9,0.0,12.5,20.0,0.1,-0.1,0.1,0.025,-0.7,-4.9,-5.6,-0.1
12,Career,,,NBA,,611.0,15282.0,12.8,0.541,0.524,0.141,1.6,11.3,6.4,7.7,1.7,1.1,8.4,20.4,9.5,13.6,23.1,0.073,-0.2,-0.5,-0.7,5.0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5 seasons,,TOR,NBA,,363.0,8444.0,12.2,0.536,0.518,0.1,2.0,11.0,6.5,6.1,1.6,1.1,8.1,18.8,7.0,7.1,14.0,0.08,0.0,-0.5,-0.5,3.2
15,6 seasons,,ORL,NBA,,248.0,6838.0,13.6,0.545,0.53,0.182,1.1,11.8,6.3,9.6,1.9,1.2,8.6,22.4,2.5,6.6,9.1,0.064,-0.5,-0.4,-0.9,1.9
